#################### HIPFILE BACKEND: FASTPATH ####################
RUN_DIRECTORY	/mnt/ais/ext4/johtyler/hipfile-io-stat-effects.AUEKRM/fastpath
GPU_ID	0
DIO_MEMORY_ALIGNMENT	4
DIO_OFFSET_ALIGNMENT	512
NORMAL_IO_SIZE	4096
INITIAL_FILE_SIZE	1048576
NOTE	Exact transitions are compared for structural fields; timestamps and inode values are compared by changed/unchanged state.

=== read-zero-in-range (size=0, offset=0) ===
RETURN	POSIX=0 errno=0	HIPFILE=0 errno=0
statx.stx_mtime	946684801.000000000 -> 1787157822.410446215 (changed)	946684801.000000000 -> 1787157822.417446575 (changed)	MATCH
statx.stx_rdev	0:0 -> 0:0 (unchanged)	0:0 -> 0:0 (unchanged)	MATCH
statx.stx_dev	259:3 -> 259:3 (unchanged)	259:3 -> 259:3 (unchanged)	MATCH
statx.stx_dio_mem_align	4 -> 4 (unchanged)	4 -> 4 (unchanged)	MATCH
statx.stx_dio_offset_align	512 -> 512 (unchanged)	512 -> 512 (unchanged)	MATCH
POST_CLOSE_FIELD	POSIX before -> post-close	HIPFILE before -> post-close	COMPARISON
post-close.fstat.st_mtim	946684801.000000000 -> 1787157822.410446215 (changed)	946684801.000000000 -> 1787157822.417446575 (changed)	MATCH
post-close.fstat.st_ctim	1787157822.408446113 -> 1787157822.410446215 (changed)	1787157822.415446473 -> 1787157822.417446575 (changed)	MATCH
post-close.statx.stx_ctime	1787157822.408446113 -> 1787157822.410446215 (changed)	1787157822.415446473 -> 1787157822.417446575 (changed)	MATCH
post-close.statx.stx_mtime	946684801.000000000 -> 1787157822.410446215 (changed)	946684801.000000000 -> 1787157822.417446575 (changed)	MATCH
POST_CLOSE_RESULT	MATCH
CASE_RESULT	PASS

=== write-normal-extend (size=4096, offset=1048576) ===
RETURN	POSIX=4096 errno=0	HIPFILE=4096 errno=0
CONTENT	POSIX=0xbab1a8f07754e325	HIPFILE=0xbab1a8f07754e325	MATCH
FIELD	POSIX before -> after	HIPFILE before -> after	COMPARISON
fstat.st_dev	259:3 -> 259:3 (unchanged)	259:3 -> 259:3 (unchanged)	MATCH
fstat.st_ino	4063344 -> 4063344 (unchanged)	4063345 -> 4063345 (unchanged)	MATCH
fstat.st_mode	0100640 -> 0100640 (unchanged)	0100640 -> 0100640 (unchanged)	MATCH
fstat.st_nlink	1 -> 1 (unchanged)	1 -> 1 (unchanged)	MATCH
fstat.st_uid	1003 -> 1003 (unchanged)	1003 -> 1003 (unchanged)	MATCH
