function_id,function_name,pid,tid,start_timestamp_ns,end_timestamp_ns,duration_ns,arg_count,arg0_name,arg0_value,arg1_name,arg1_value,arg2_name,arg2_value,arg3_name,arg3_value,arg4_name,arg4_value,arg5_name,arg5_value,arg6_name,arg6_value,arg7_name,arg7_value,return_value
279,hipGetLastError,3773181,3773194,883225770279546,883225770314317,34771,1,none,0x7fdb6a13fe40,,,,,,,,,,,,,,,0x0
351,hipLaunchKernel,3773181,3773194,883225770351693,883225770440895,89202,6,func,0x7fdb6b608280,gridDim,0x13600000136,blockDim,0x1,args,0x2000000020,sharedMemBytes,0x1,unknown,0x0,,,,,0x0
477,hipGetLastError,3773181,3773194,883225770477719,883225770518159,40440,1,none,0x7fdb6a13fe40,,,,,,,,,,,,,,,0x0
554,hipLaunchKernel,3773181,3773194,883225770554714,883225770644407,89693,6,func,0x7fdb6b608280,gridDim,0x13600000136,blockDim,0x1,args,0x2000000020,sharedMemBytes,0x1,unknown,0x0,,,,,0x0
681,hipGetLastError,3773181,3773194,883225770681812,883225770718286,36474,1,none,0x7fdb6a13fe40,,,,,,,,,,,,,,,0x0
758,hipStreamSynchronize,3773181,3773194,883225770758536,883225771577280,818744,1,stream,0x7f9afc0010b0,,,,,,,,,,,,,,,0x0
622,hipLaunchKernel,3773181,3773194,883225771622437,883225771712811,90374,6,func,0x7fdb6b608280,gridDim,0x13600000136,blockDim,0x1,args,0x2000000020,sharedMemBytes,0x1,unknown,0x0,,,,,0x0
751,hipGetLastError,3773181,3773194,883225771750998,883225771790817,39819,1,none,0x7fdb6a13fe40,,,,,,,,,,,,,,,0x0
827,hipLaunchKernel,3773181,3773194,883225771827852,883225771920259,92407,6,func,0x7fdb6b608280,gridDim,0x13600000136,blockDim,0x1,args,0x2000000020,sharedMemBytes,0x1,unknown,0x0,,,,,0x0
957,hipGetLastError,3773181,3773194,883225771956983,883225771997063,40080,1,none,0x7fdb6a13fe40,,,,,,,,,,,,,,,0x0
53,hipLaunchKernel,3773181,3773194,883225772053877,883225772144191,90314,6,func,0x7fdb6b608280,gridDim,0x13600000136,blockDim,0x1,args,0x2000000020,sharedMemBytes,0x1,unknown,0x0,,,,,0x0
181,hipGetLastError,3773181,3773194,883225772181456,883225772221926,40470,1,none,0x7fdb6a13fe40,,,,,,,,,,,,,,,0x0
258,hipLaunchKernel,3773181,3773194,883225772258811,883225772348093,89282,6,func,0x7fdb6b608280,gridDim,0x13600000136,blockDim,0x1,args,0x2000000020,sharedMemBytes,0x1,unknown,0x0,,,,,0x0
384,hipGetLastError,3773181,3773194,883225772384738,883225772421652,36914,1,none,0x7fdb6a13fe40,,,,,,,,,,,,,,,0x0
458,hipLaunchKernel,3773181,3773194,883225772458807,883225772548200,89393,6,func,0x7fdb6b608280,gridDim,0x13600000136,blockDim,0x1,args,0x2000000020,sharedMemBytes,0x1,unknown,0x0,,,,,0x0
585,hipGetLastError,3773181,3773194,883225772585505,883225772626176,40671,1,none,0x7fdb6a13fe40,,,,,,,,,,,,,,,0x0
663,hipLaunchKernel,3773181,3773194,883225772663171,883225772753324,90153,6,func,0x7fdb6b608280,gridDim,0x13600000136,blockDim,0x1,args,0x2000000020,sharedMemBytes,0x1,unknown,0x0,,,,,0x0
790,hipGetLastError,3773181,3773194,883225772790519,883225772826152,35633,1,none,0x7fdb6a13fe40,,,,,,,,,,,,,,,0x0
862,hipLaunchKernel,3773181,3773194,883225772862476,883225772951728,89252,6,func,0x7fdb6b608280,gridDim,0x13600000136,blockDim,0x1,args,0x2000000020,sharedMemBytes,0x1,unknown,0x0,,,,,0x0
988,hipGetLastError,3773181,3773194,883225772988403,883225773028603,40200,1,none,0x7fdb6a13fe40,,,,,,,,,,,,,,,0x0
65,hipLaunchKernel,3773181,3773194,883225773065487,883225773156562,91075,6,func,0x7fdb6b608280,gridDim,0x13600000136,blockDim,0x1,args,0x2000000020,sharedMemBytes,0x1,unknown,0x0,,,,,0x0
194,hipGetLastError,3773181,3773194,883225773194028,883225773232485,38457,1,none,0x7fdb6a13fe40,,,,,,,,,,,,,,,0x0
268,hipLaunchKernel,3773181,3773194,883225773268618,883225773356819,88201,6,func,0x7fdb6b608280,gridDim,0x13600000136,blockDim,0x1,args,0x2000000020,sharedMemBytes,0x1,unknown,0x0,,,,,0x0
394,hipGetLastError,3773181,3773194,883225773394215,883225773434735,40520,1,none,0x7fdb6a13fe40,,,,,,,,,,,,,,,0x0
471,hipLaunchKernel,3773181,3773194,883225773471840,883225773560481,88641,6,func,0x7fdb6b608280,gridDim,0x13600000136,blockDim,0x1,args,0x2000000020,sharedMemBytes,0x1,unknown,0x0,,,,,0x0
596,hipGetLastError,3773181,3773194,883225773596905,883225773637195,40290,1,none,0x7fdb6a13fe40,,,,,,,,,,,,,,,0x0
673,hipStreamSynchronize,3773181,3773194,883225773673870,883225774943483,1269613,1,stream,0x7f9afc0010b0,,,,,,,,,,,,,,,0x0
982,hipLaunchKernel,3773181,3773194,883225774982561,883225775066825,84264,6,func,0x7fdb6b608280,gridDim,0x13600000136,blockDim,0x1,args,0x2000000020,sharedMemBytes,0x1,unknown,0x0,,,,,0x0
104,hipGetLastError,3773181,3773194,883225775104592,883225775145632,41040,1,none,0x7fdb6a13fe40,,,,,,,,,,,,,,,0x0
182,hipLaunchKernel,3773181,3773194,883225775182657,883225775275255,92598,6,func,0x7fdb6b608280,gridDim,0x13600000136,blockDim,0x1,args,0x2000000020,sharedMemBytes,0x1,unknown,0x0,,,,,0x0
315,hipGetLastError,3773181,3773194,883225775315124,883225775353340,38216,1,none,0x7fdb6a13fe40,,,,,,,,,,,,,,,0x0
390,hipLaunchKernel,3773181,3773194,883225775390145,883225775479848,89703,6,func,0x7fdb6b608280,gridDim,0x13600000136,blockDim,0x1,args,0x2000000020,sharedMemBytes,0x1,unknown,0x0,,,,,0x0
516,hipGetLastError,3773181,3773194,883225775516683,883225775554719,38036,1,none,0x7fdb6a13fe40,,,,,,,,,,,,,,,0x0
592,hipLaunchKernel,3773181,3773194,883225775592075,883225775681778,89703,6,func,0x7fdb6b608280,gridDim,0x13600000136,blockDim,0x1,args,0x2000000020,sharedMemBytes,0x1,unknown,0x0,,,,,0x0
718,hipGetLastError,3773181,3773194,883225775718182,883225775758321,40139,1,none,0x7fdb6a13fe40,,,,,,,,,,,,,,,0x0
795,hipLaunchKernel,3773181,3773194,883225775794995,883225775884689,89694,6,func,0x7fdb6b608280,gridDim,0x13600000136,blockDim,0x1,args,0x2000000020,sharedMemBytes,0x1,unknown,0x0,,,,,0x0
920,hipGetLastError,3773181,3773194,883225775920612,883225775959910,39298,1,none,0x7fdb6a13fe40,,,,,,,,,,,,,,,0x0
462,hipHostMalloc,3773181,3773191,883225677462431,883225776092296,98629865,3,arg,0x7f9b400010b8,arg,0x2000000,arg,0x0,,,,,,,,,,,0x0
996,hipLaunchKernel,3773181,3773194,883225775996745,883225776101490,104745,6,func,0x7fdb6b608280,gridDim,0x13600000136,blockDim,0x1,args,0x2000000020,sharedMemBytes,0x1,unknown,0x0,,,,,0x0
254,hipGetLastError,3773181,3773194,883225776254447,883225776299283,44836,1,none,0x7fdb6a13fe40,,,,,,,,,,,,,,,0x0
338,hipLaunchKernel,3773181,3773194,883225776337931,883225776417178,79247,6,func,0x7fdb6b608280,gridDim,0x13600000136,blockDim,0x1,args,0x2000000020,sharedMemBytes,0x1,unknown,0x0,,,,,0x0
454,hipGetLastError,3773181,3773194,883225776454894,883225776494082,39188,1,none,0x7fdb6a13fe40,,,,,,,,,,,,,,,0x0
531,hipLaunchKernel,3773181,3773194,883225776530977,883225776617265,86288,6,func,0x7fdb6b608280,gridDim,0x13600000136,blockDim,0x1,args,0x2000000020,sharedMemBytes,0x1,unknown,0x0,,,,,0x0
655,hipGetLastError,3773181,3773194,883225776654931,883225776694950,40019,1,none,0x7fdb6a13fe40,,,,,,,,,,,,,,,0x0
731,hipLaunchKernel,3773181,3773194,883225776731394,883225776819775,88381,6,func,0x7fdb6b608280,gridDim,0x13600000136,blockDim,0x1,args,0x2000000020,sharedMemBytes,0x1,unknown,0x0,,,,,0x0
857,hipGetLastError,3773181,3773194,883225776857391,883225776897571,40180,1,none,0x7fdb6a13fe40,,,,,,,,,,,,,,,0x0
934,hipLaunchKernel,3773181,3773194,883225776934335,883225777023257,88922,6,func,0x7fdb6b608280,gridDim,0x13600000136,blockDim,0x1,args,0x2000000020,sharedMemBytes,0x1,unknown,0x0,,,,,0x0
60,hipGetLastError,3773181,3773194,883225777060613,883225777100021,39408,1,none,0x7fdb6a13fe40,,,,,,,,,,,,,,,0x0
